GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stock-maintance-application,com.nagasumali.stocks,StocksApplication,8,0,0,0,3,0,2,0,2,0
stock-maintance-application,com.nagasumali.stocks.controller,TradeController,0,51,0,0,0,17,0,4,0,4
stock-maintance-application,com.nagasumali.stocks.controller,StockController,0,147,0,0,0,44,0,9,0,9
stock-maintance-application,com.nagasumali.stocks.controller.api,DividendYieldDto,0,17,0,0,0,7,0,5,0,5
stock-maintance-application,com.nagasumali.stocks.controller.api,AllSharesIndexDto,0,10,0,0,0,4,0,3,0,3
stock-maintance-application,com.nagasumali.stocks.controller.api,StockDto,0,73,0,0,0,27,0,14,0,14
stock-maintance-application,com.nagasumali.stocks.controller.api,PERatioDto,0,17,0,0,0,7,0,5,0,5
stock-maintance-application,com.nagasumali.stocks.controller.api,StockPriceDto,0,17,0,0,0,7,0,5,0,5
stock-maintance-application,com.nagasumali.stocks.controller.api,TradeDto,0,51,0,0,0,19,0,10,0,10
stock-maintance-application,com.nagasumali.stocks.service,StockServiceImpl,12,185,0,8,2,46,1,15,1,11
stock-maintance-application,com.nagasumali.stocks.service,TradeServiceImpl,0,11,0,0,0,5,0,2,0,2
stock-maintance-application,com.nagasumali.stocks.service,ServiceException,0,4,0,0,0,2,0,1,0,1
stock-maintance-application,com.nagasumali.stocks.controller.converter,StockConverter,0,38,0,0,0,9,0,2,0,2
stock-maintance-application,com.nagasumali.stocks.controller.converter,StockDtoConverter,0,32,0,0,0,8,0,2,0,2
stock-maintance-application,com.nagasumali.stocks.controller.converter,TradeDtoConverter,0,29,0,0,0,7,0,2,0,2
stock-maintance-application,com.nagasumali.stocks.domain,StockType,0,38,0,0,0,3,0,4,0,4
stock-maintance-application,com.nagasumali.stocks.domain,TradeIndicator,0,38,0,0,0,3,0,4,0,4
stock-maintance-application,com.nagasumali.stocks.domain,Stock,31,174,3,19,9,33,4,21,1,13
stock-maintance-application,com.nagasumali.stocks.domain,Trade,10,132,7,9,1,28,6,11,0,9
stock-maintance-application,com.nagasumali.stocks.spec,TradeSpecification,3,36,1,5,1,3,2,6,1,4
stock-maintance-application,com.nagasumali.stocks.spec,StockSpecification,3,8,0,0,1,1,1,2,1,2
stock-maintance-application,com.nagasumali.stocks.repository,LocalRepository,4,39,0,0,2,10,1,6,1,6
stock-maintance-application,com.nagasumali.stocks.repository,LocalTradeRepository,0,3,0,0,0,2,0,1,0,1
stock-maintance-application,com.nagasumali.stocks.repository,LocalStockRepository,0,3,0,0,0,2,0,1,0,1
